Wallet Address,Token Amount
EFpMxLvWsPNwWQ1Z4PjYUwrP2dZGmhj97BDMsc5LNbKB,500000000
9J8weVD4qRH6w2jpwewvwCDDb9MFYpUn2Rj9WvPtUUYU,1283567500
CELTZ6a5wuSs89TyT25d6Cc1QyMd3GgARZbyjczehgBg,500000000
J3riSh6ujvTqxvKCQZTfJq9x7DCMCn4QrP9K3xEnet7M,500000000
25vRpLm2dmwwr5m1VPdz17XGSC8m1ArCUW2eU7FNZLiv,500000000
2wE57fM77FJKuJ62GYntfRti5Eq6YhwdAR6NWrY3WpBe,500000000
CXyPCFG9LbMJT94QWf3TMSqp8Quug19AewHs7pxuM7XB,500000000
DEuYoYtNy9XMFH19sufp1ZnfKtpZ7nT9smPrpWg26wAC,10000000000
BG9rv46WLFUxyE7o2hpvBGV8DcLqvzoUUmjU32UQCR4j,2000000000
EQQVVN94HD6pmArGHDdC2Q7CHqNyLZAtTejUGcffSWd8,150000000
Cisx5N4KffGsssN9r6wwTEzgsX3FHGLKJE5FbgK7VctH,500000000
HwoK9GqZeQGicV3EKUxVZipQ1oC7eAeCKXXvQKDvcFC,1000000000
H9dhYnx1JfZ1LQocv7L8xg9JfXrdC7ivKegSDgxmZNic,500000000
2zHWcBQfdFnRvFK9La7FnEkd3SEa6rmbTGTzVMTZp4bt,10000000000
E1abGRUqG1nmLLpMtaybH24TyktDDzAon9hvUt3XzKA8,1000000000
8Sok7ogcFsD54oHLhGA1eL3kHUDz41khrJDiw5EiV2GB,2000000000
5BD71FjtQ36N5XFuSrttLJ9zrFTmXU9Uq1VUNASg2Az1,5400000000
3GJH2S9ZeuTwapXGT6gkm1BGhEUamjUZRmtpGDGM36XD,500000000
9aL5dp7ZMyWiNiE47tpQXAjm6y5CfgLaPeihffQhYVJV,10000000000
C7UMwCA2AtodjWcZCPM6XYkCNtMo35dhNXxbes1Qm6fB,500000000
3x4W65jy2h2Ha3uDhsPrBxDDh4WEiJEXcKPcLYyxCM5E,500000000
5xj6gcAAC4xzLrHZmeigWE4jREXzLnoZSazUrtezPBWz,6800000000
DYXVW2Z8bBDUTfpwubCzcqGxgGR4EdCkiTH4yREiSNcN,13808068
DdjKWDm7F6QajhLkHHDvBDcWhD8rCxjuP91Jm34N6mqD,500000000
Eq6BCrYZ8RzLvyLiyQtVaCnWAQQSrdDaPcVp2Wh6Q8AX,2000000000
CbdTib6n8hexMB8dhJPANZzHFdGqmxJST1qZG6GoD9G1,5250000000
5jYLAL217VjMYDeppAaJQNnXJvB7LuiRbhdsuS3zkbFA,500000000
F1pnH6ASZaA4QPZyXqg7niRFQwoVRXnn96J9TjZJotuy,1000000000
3BCNmqEUHtLehcisv1b64BoFM8XSh1ZWmjf3QqmTYpkc,500000000
Am5zFHhyPPWM8DFJsUtHEFCJRGgMUJQBYBvLRmh44efn,750000000
87ePmKUYLRtNavTLFKwKsUi5TZSfbrjetZNsfDsUS2oj,500000000
AZAuhdEXh4kFVZyFL7QzdSR832RuTK9Za486VSv6F18a,500000000
